          Filename                         BJD            RV (km/s)  Sigma-RV Fluxlevel
s1_2016-09-27T02-29-47_ext.iod        2457658.6066639000   24.8763    0.0016   43188.2
s1_2016-09-27T02-30-31_ext.iod        2457658.6071692999   24.8740    0.0017   51669.5
s1_2016-09-27T02-31-14_ext.iod        2457658.6076711002   24.8722    0.0015   52779.2
s1_2016-09-28T00-31-39_ext.iod        2457659.5247085998   24.8839    0.0017   43955.0
s1_2016-09-28T00-32-23_ext.iod        2457659.5252127000   24.8867    0.0018   49487.7
s1_2016-09-28T00-33-06_ext.iod        2457659.5257151001   24.8832    0.0019   50101.7
s1_2016-09-28T04-00-12_ext.iod        2457659.6695444998   24.8835    0.0013   52100.8
s1_2016-09-28T04-00-56_ext.iod        2457659.6700483002   24.8839    0.0014   61799.2
s1_2016-09-28T04-01-39_ext.iod        2457659.6705521001   24.8841    0.0013   60544.7
s1_2016-09-29T00-34-59_ext.iod        2457660.5271072001   24.8736    0.0015   42912.8
s1_2016-09-29T00-35-43_ext.iod        2457660.5276108999   24.8713    0.0016   46771.9
s1_2016-09-29T00-36-26_ext.iod        2457660.5281135002   24.8736    0.0016   42676.9
s1_2016-09-29T03-46-25_ext.iod        2457660.6600615000   24.8684    0.0012   45022.1
s1_2016-09-29T03-47-09_ext.iod        2457660.6605652999   24.8679    0.0013   58220.8
s1_2016-09-29T03-47-52_ext.iod        2457660.6610677000   24.8678    0.0014   60082.3
s1_2016-09-29T06-29-06_ext.iod        2457660.7730426001   24.8600    0.0011   68262.3
s1_2016-09-29T06-29-50_ext.iod        2457660.7735506999   24.8593    0.0012   78662.0
s1_2016-09-29T06-30-34_ext.iod        2457660.7740560998   24.8628    0.0012   78022.5
s1_2016-09-30T00-34-56_ext.iod        2457661.5271619000   24.8305    0.0014   54555.8
s1_2016-09-30T00-35-40_ext.iod        2457661.5276700999   24.8299    0.0015   56642.3
s1_2016-09-30T00-36-24_ext.iod        2457661.5281755002   24.8314    0.0014   51539.0
s1_2016-09-30T04-25-32_ext.iod        2457661.6873108000   24.8197    0.0012   56633.1
s1_2016-09-30T04-26-15_ext.iod        2457661.6878156001   24.8168    0.0011   72945.6
s1_2016-09-30T04-26-59_ext.iod        2457661.6883212002   24.8188    0.0011   71201.6
s1_2016-09-30T06-23-51_ext.iod        2457661.7694807001   24.8123    0.0012   68519.9
s1_2016-09-30T06-24-35_ext.iod        2457661.7699878998   24.8126    0.0012   81177.6
s1_2016-09-30T06-25-19_ext.iod        2457661.7705003000   24.8128    0.0012   80882.2
s1_2016-10-01T06-08-37_ext.iod        2457662.7589956000   24.8084    0.0012   56894.8
s1_2016-10-01T06-09-21_ext.iod        2457662.7594999000   24.8092    0.0011   62223.8
s1_2016-10-01T06-10-05_ext.iod        2457662.7600059998   24.8076    0.0011   65755.7
