          Filename                         BJD            RV (km/s)  Sigma-RV Fluxlevel
s1_2016-10-06T02-08-25_ext.iod        2457667.5925352001   24.8172    0.0009   27922.7
s1_2016-10-06T02-08-59_ext.iod        2457667.5929296999   24.8164    0.0009   28668.2
s1_2016-10-06T02-09-33_ext.iod        2457667.5933190999   24.8171    0.0009   26869.2
s1_2016-10-07T00-36-29_ext.iod        2457668.5287680002   24.7846    0.0012   16770.6
s1_2016-10-07T00-37-05_ext.iod        2457668.5291813998   24.7851    0.0010   18902.7
s1_2016-10-07T00-37-43_ext.iod        2457668.5296268002   24.7856    0.0010   17821.8
s1_2016-10-07T02-10-01_ext.iod        2457668.5937258000   24.7840    0.0008   41899.7
s1_2016-10-07T02-10-41_ext.iod        2457668.5941887000   24.7859    0.0010   35001.0
s1_2016-10-07T02-11-19_ext.iod        2457668.5946310000   24.7853    0.0008   32159.9
s1_2016-10-08T06-02-24_ext.iod        2457669.7551985001   24.8517    0.0013   36536.2
s1_2016-10-08T06-02-58_ext.iod        2457669.7555868002   24.8506    0.0012   43523.4
s1_2016-10-08T06-03-32_ext.iod        2457669.7559827999   24.8515    0.0013   39717.2
s1_2016-10-09T06-04-34_ext.iod        2457670.7567822002   24.9479    0.0016   33170.3
s1_2016-10-09T06-05-08_ext.iod        2457670.7571760002   24.9481    0.0016   43216.7
s1_2016-10-09T06-05-42_ext.iod        2457670.7575690001   24.9502    0.0016   41086.3
s1_2016-10-10T06-22-37_ext.iod        2457671.7693953002   24.9196    0.0026   31661.5
s1_2016-10-10T06-23-11_ext.iod        2457671.7697892999   24.9219    0.0017   46572.6
s1_2016-10-10T06-23-45_ext.iod        2457671.7701841001   24.9242    0.0017   44717.0
s1_2016-10-11T06-22-45_ext.iod        2457672.7695649001   24.7941    0.0019   36038.2
s1_2016-10-11T06-23-19_ext.iod        2457672.7699548001   24.7926    0.0020   39972.3
s1_2016-10-11T06-23-53_ext.iod        2457672.7703558002   24.7908    0.0020   40159.2
s1_2016-10-14T06-21-52_ext.iod        2457675.7691743001   24.9248    0.0023   29732.2
s1_2016-10-14T06-22-25_ext.iod        2457675.7695637001   24.9230    0.0024   31365.7
s1_2016-10-14T06-22-59_ext.iod        2457675.7699527000   24.9253    0.0023   28168.0
s1_2016-10-20T06-20-50_ext.iod        2457681.7688727998   24.8498    0.0031   31949.6
s1_2016-10-20T06-21-23_ext.iod        2457681.7692610002   24.8521    0.0028   36533.5
s1_2016-10-20T06-21-57_ext.iod        2457681.7696560002   24.8517    0.0029   35528.0
s1_2016-10-22T03-11-10_ext.iod        2457683.6372886999   24.9024    0.0030   27004.5
s1_2016-10-22T03-11-44_ext.iod        2457683.6376812002   24.9007    0.0030   34755.9
s1_2016-10-22T03-12-18_ext.iod        2457683.6380689000   24.9030    0.0030   37401.3
s1_2016-10-23T02-49-18_ext.iod        2457684.6221615002   24.8471    0.0031   22006.9
s1_2016-10-23T02-49-51_ext.iod        2457684.6225496000   24.8443    0.0030   24502.5
s1_2016-10-23T02-50-26_ext.iod        2457684.6229455001   24.8475    0.0031   23404.4
s1_2016-11-08T02-50-57_ext.iod        2457700.6241249000   24.9316    0.0025   28717.2
s1_2016-11-08T02-51-31_ext.iod        2457700.6245283000   24.9322    0.0024   31929.3
s1_2016-11-08T02-52-05_ext.iod        2457700.6249199999   24.9338    0.0023   31208.7
s1_2016-11-09T02-56-03_ext.iod        2457701.6277089999   24.8837    0.0023   29617.8
s1_2016-11-09T02-56-38_ext.iod        2457701.6281130998   24.8868    0.0024   29398.2
s1_2016-11-09T02-57-14_ext.iod        2457701.6285362998   24.8847    0.0025   26437.2
s1_2016-11-10T02-49-35_ext.iod        2457702.6232607001   24.8275    0.0024   49132.8
s1_2016-11-10T02-50-10_ext.iod        2457702.6236644001   24.8275    0.0022   56692.8
s1_2016-11-10T02-50-47_ext.iod        2457702.6240840000   24.8262    0.0022   52050.1
s1_2016-11-11T02-48-02_ext.iod        2457703.6222091001   24.8662    0.0020   56646.9
s1_2016-11-11T02-48-36_ext.iod        2457703.6226041000   24.8649    0.0020   57955.2
s1_2016-11-11T02-49-10_ext.iod        2457703.6229991000   24.8659    0.0020   56561.8
s1_2016-11-12T02-49-06_ext.iod        2457704.6229842999   24.9038    0.0019   25497.4
s1_2016-11-12T02-49-40_ext.iod        2457704.6233820999   24.9044    0.0019   32681.1
s1_2016-11-12T02-50-14_ext.iod        2457704.6237753001   24.9031    0.0018   40094.5
s1_2016-11-13T02-47-50_ext.iod        2457705.6221460002   24.9035    0.0019   66882.8
s1_2016-11-13T02-48-25_ext.iod        2457705.6225402998   24.9010    0.0019   71703.2
s1_2016-11-13T02-48-59_ext.iod        2457705.6229365002   24.9009    0.0018   68963.0
s1_2016-11-16T02-40-55_ext.iod        2457708.6174237002   24.7455    0.0017   52521.4
s1_2016-11-16T02-41-29_ext.iod        2457708.6178191998   24.7439    0.0017   60997.2
s1_2016-11-16T02-42-04_ext.iod        2457708.6182182999   24.7457    0.0017   63661.0
s1_2016-11-17T02-40-54_ext.iod        2457709.6174384998   24.7911    0.0020   65952.7
s1_2016-11-17T02-41-29_ext.iod        2457709.6178375999   24.7911    0.0021   70119.6
s1_2016-11-17T02-42-03_ext.iod        2457709.6182379001   24.7909    0.0021   70810.5
s1_2016-11-18T03-26-44_ext.iod        2457710.6492949999   24.9073    0.0034    4328.4
s1_2016-11-18T03-27-19_ext.iod        2457710.6496899002   24.9109    0.0036    3906.8
s1_2016-11-18T03-27-54_ext.iod        2457710.6500944998   24.9098    0.0026   13532.1
s1_2016-11-20T05-29-10_ext.iod        2457712.7343513998   24.8400    0.0021   42233.2
s1_2016-11-20T05-29-44_ext.iod        2457712.7347462000   24.8388    0.0021   43643.2
s1_2016-11-20T05-30-18_ext.iod        2457712.7351480001   24.8399    0.0023   44685.5
s1_2016-11-21T05-27-26_ext.iod        2457713.7331721000   24.8610    0.0023   30719.8
s1_2016-11-21T05-28-00_ext.iod        2457713.7335661999   24.8608    0.0023   26976.6
s1_2016-11-21T05-28-35_ext.iod        2457713.7339679999   24.8602    0.0026   19793.1
s1_2016-11-24T05-29-11_ext.iod        2457716.7344354000   24.7994    0.0026   31569.5
s1_2016-11-24T05-29-46_ext.iod        2457716.7348309001   24.7979    0.0027   43016.6
s1_2016-11-24T05-30-20_ext.iod        2457716.7352312999   24.7991    0.0026   42908.5
